# CSVファイルの仕様:
#   - 文字コード: UTF-8
#   - コメント: #ではじまる行
#   - 囲み文字: " ダブルクォーテーション
#   - 編集不可の項目: 項目名に*がついたものは編集不可
#   - 1行の定義: 下記のデータタイプに合わせて1データ1行記載
#
# データタイプ: 先頭の数値はデータの種類を表しています。
#   10: データソース
#   20: メタデータ
#   30: メタデータのカラム
# 
# データタイプごとの定義: データタイプによって指定できる項目が異なります。
#   10: データソース
#     - Type*:       データタイプ
#     - ID*:         データソースID
#     - Name:        データソース名
#     - Description: データソースの説明。改行やカンマを含む場合は " で囲んでください。
#     - Language:    データソースの言語
#       - ja:        日本語
#       - en:        英語
#
#   20: メタデータ
#     - Type*:       データタイプ
#     - ID*:         メタデータID
#     - Name*:       メタデータ名
#     - Alias:       メタデータの別名
#     - Description: メタデータの説明。改行やカンマを含む場合は " で囲んでください。
#     - Language:    メタデータの言語
#       - ja:          日本語
#       - en:          英語
#     - MetaType*:   メタデータタイプ
#       - Table:       テーブル形式のメタデータ
#       - Model:       モデル形式のメタデータ
#       - Stream:      ストリーム形式のメタデータ
#       - File:        ファイル形式のメタデータ
#
#   30: メタデータのカラム
#     - Type*:       データタイプ
#     - ID*:         メタデータID
#     - Name*:       カラム名
#     - Alias:       カラムの別名
#     - Description: カラムの説明。改行やカンマを含む場合は " で囲んでください。
#     - DataType*:   カラムの型
#     - ColumnType*: カラムの種類
#       - Nullable:    任意
#       - Required:    必須
#       - Repeated:    複数
#     - Constraint*: キーの制約
#       - Primary:     主キー
#

10,bac33b97-a0e8-4b56-8310-4c9a2b0d6196,ORCA,,ja

20,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,tbl_adrs,,,ja,Table
30,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,lpubcd,,,character varying,Required,Primary
30,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,post,,,character varying,Required,Primary
30,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,rennum,,,smallint,Required,Primary
30,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,prefkana,,,character varying,Nullable,
30,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,citykana,,,character varying,Nullable,
30,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,townkana,,,character varying,Nullable,
30,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,prefname,,,character varying,Nullable,
30,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,cityname,,,character varying,Nullable,
30,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,townname,,,character varying,Nullable,
30,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,editadrs_kana,,,character varying,Nullable,
30,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,editadrs_name,,,character varying,Nullable,
30,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,towndivflg,,,character varying,Nullable,
30,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,manytownflg,,,character varying,Nullable,
30,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,hospnum,,,smallint,Required,Primary
30,a2a88d0c-eb18-47d6-ac70-fb143c0cbe1c,townname2,,,character varying,Nullable,

20,3c0b911c-6d5b-45a0-ade5-9b93f422a9d5,tbl_btpara,,,ja,Table
30,3c0b911c-6d5b-45a0-ade5-9b93f422a9d5,shellid,,,character,Required,Primary
30,3c0b911c-6d5b-45a0-ade5-9b93f422a9d5,run_opid,,,character,Required,Primary
30,3c0b911c-6d5b-45a0-ade5-9b93f422a9d5,dsp_rennum,,,numeric,Required,Primary
30,3c0b911c-6d5b-45a0-ade5-9b93f422a9d5,rennum,,,numeric,Required,Primary
30,3c0b911c-6d5b-45a0-ade5-9b93f422a9d5,jobid,,,numeric,Nullable,
30,3c0b911c-6d5b-45a0-ade5-9b93f422a9d5,scriptid,,,character,Nullable,
30,3c0b911c-6d5b-45a0-ade5-9b93f422a9d5,info_kbn,,,character,Nullable,
30,3c0b911c-6d5b-45a0-ade5-9b93f422a9d5,info_para,,,character varying,Nullable,
30,3c0b911c-6d5b-45a0-ade5-9b93f422a9d5,termid,,,character varying,Nullable,
30,3c0b911c-6d5b-45a0-ade5-9b93f422a9d5,opid,,,character varying,Nullable,
30,3c0b911c-6d5b-45a0-ade5-9b93f422a9d5,creymd,,,character,Nullable,
30,3c0b911c-6d5b-45a0-ade5-9b93f422a9d5,upymd,,,character,Nullable,
30,3c0b911c-6d5b-45a0-ade5-9b93f422a9d5,uphms,,,character,Nullable,
30,3c0b911c-6d5b-45a0-ade5-9b93f422a9d5,hospnum,,,numeric,Required,Primary

20,1e509830-4cb9-4422-8117-6a7e52a03d7e,tbl_bunben,,,ja,Table
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,hospnum,,,smallint,Required,Primary
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,ptid,,,bigint,Required,Primary
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,skyym,,,character,Required,Primary
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,rrknum,,,integer,Required,Primary
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,ptnum,,,character,Required,
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,skykbn,,,character,Required,
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,riyoukbn,,,character,Required,
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,bunbenkbn,,,character,Required,
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,teisyutusaki,,,character,Required,
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,kanyukbn,,,character,Required,
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,honkzkkbn,,,character,Required,
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,hknjanum,,,character,Required,
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,kigo,,,character varying,Required,
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,num,,,character varying,Required,
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,name,,,character varying,Required,
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,zaiweek,,,smallint,Required,
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,birthday,,,character,Required,
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,sizankbn,,,character,Required,
30,1e509830-4cb9-4422-8117-6a7e52a03d7e,birthcnt,,,smallint,Required,
