# CSVファイルの仕様:
#   - 文字コード: UTF-8
#   - コメント: #ではじまる行
#   - 囲み文字: " ダブルクォーテーション
#   - 編集不可の項目: 項目名に*がついたものは編集不可
#   - 1行の定義: 下記のデータタイプに合わせて1データ1行記載
#
# データタイプ: 先頭の数値はデータの種類を表しています。
#   10: データソース
#   20: メタデータ
#   30: メタデータのカラム
# 
# データタイプごとの定義: データタイプによって指定できる項目が異なります。
#   10: データソース
#     - Type*:       データタイプ
#     - ID*:         データソースID
#     - Name:        データソース名
#     - Description: データソースの説明。改行やカンマを含む場合は " で囲んでください。
#     - Language:    データソースの言語
#       - ja:        日本語
#       - en:        英語
#
#   20: メタデータ
#     - Type*:       データタイプ
#     - ID*:         メタデータID
#     - Name*:       メタデータ名
#     - Alias:       メタデータの別名
#     - Description: メタデータの説明。改行やカンマを含む場合は " で囲んでください。
#     - Language:    メタデータの言語
#       - ja:          日本語
#       - en:          英語
#     - MetaType*:   メタデータタイプ
#       - Table:       テーブル形式のメタデータ
#       - Model:       モデル形式のメタデータ
#       - Stream:      ストリーム形式のメタデータ
#       - File:        ファイル形式のメタデータ
#
#   30: メタデータのカラム
#     - Type*:       データタイプ
#     - ID*:         メタデータID
#     - Name*:       カラム名
#     - Alias:       カラムの別名
#     - Description: カラムの説明。改行やカンマを含む場合は " で囲んでください。
#     - DataType*:   カラムの型
#     - ColumnType*: カラムの種類
#       - Nullable:    任意
#       - Required:    必須
#       - Repeated:    複数
#     - Constraint*: キーの制約
#       - Primary:     主キー
#

10,31763ee8-8f14-449a-954e-24cca370e270,PostgreSQL,"公開されているソースコードからデータベースを構築しました。
https://www.orca.med.or.jp/receipt/tec/",ja

20,beccf054-9117-4932-9123-fb1119fc278e,tbl_adrs,,,ja,Table
30,beccf054-9117-4932-9123-fb1119fc278e,lpubcd,,,character varying,Required,Primary
30,beccf054-9117-4932-9123-fb1119fc278e,post,,,character varying,Required,Primary
30,beccf054-9117-4932-9123-fb1119fc278e,rennum,,,smallint,Required,Primary
30,beccf054-9117-4932-9123-fb1119fc278e,prefkana,,,character varying,Nullable,
30,beccf054-9117-4932-9123-fb1119fc278e,citykana,,,character varying,Nullable,
30,beccf054-9117-4932-9123-fb1119fc278e,townkana,,,character varying,Nullable,
30,beccf054-9117-4932-9123-fb1119fc278e,prefname,,,character varying,Nullable,
30,beccf054-9117-4932-9123-fb1119fc278e,cityname,,,character varying,Nullable,
30,beccf054-9117-4932-9123-fb1119fc278e,townname,,,character varying,Nullable,
30,beccf054-9117-4932-9123-fb1119fc278e,editadrs_kana,,,character varying,Nullable,
30,beccf054-9117-4932-9123-fb1119fc278e,editadrs_name,,,character varying,Nullable,
30,beccf054-9117-4932-9123-fb1119fc278e,towndivflg,,,character varying,Nullable,
30,beccf054-9117-4932-9123-fb1119fc278e,manytownflg,,,character varying,Nullable,
30,beccf054-9117-4932-9123-fb1119fc278e,hospnum,,,smallint,Required,Primary
30,beccf054-9117-4932-9123-fb1119fc278e,townname2,,,character varying,Nullable,

20,6ee6bdfa-9e47-49f0-aae6-d69a2d91b435,tbl_btpara,,,ja,Table
30,6ee6bdfa-9e47-49f0-aae6-d69a2d91b435,shellid,,,character,Required,Primary
30,6ee6bdfa-9e47-49f0-aae6-d69a2d91b435,run_opid,,,character,Required,Primary
30,6ee6bdfa-9e47-49f0-aae6-d69a2d91b435,dsp_rennum,,,numeric,Required,Primary
30,6ee6bdfa-9e47-49f0-aae6-d69a2d91b435,rennum,,,numeric,Required,Primary
30,6ee6bdfa-9e47-49f0-aae6-d69a2d91b435,jobid,,,numeric,Nullable,
30,6ee6bdfa-9e47-49f0-aae6-d69a2d91b435,scriptid,,,character,Nullable,
30,6ee6bdfa-9e47-49f0-aae6-d69a2d91b435,info_kbn,,,character,Nullable,
30,6ee6bdfa-9e47-49f0-aae6-d69a2d91b435,info_para,,,character varying,Nullable,
30,6ee6bdfa-9e47-49f0-aae6-d69a2d91b435,termid,,,character varying,Nullable,
30,6ee6bdfa-9e47-49f0-aae6-d69a2d91b435,opid,,,character varying,Nullable,
30,6ee6bdfa-9e47-49f0-aae6-d69a2d91b435,creymd,,,character,Nullable,
30,6ee6bdfa-9e47-49f0-aae6-d69a2d91b435,upymd,,,character,Nullable,
30,6ee6bdfa-9e47-49f0-aae6-d69a2d91b435,uphms,,,character,Nullable,
30,6ee6bdfa-9e47-49f0-aae6-d69a2d91b435,hospnum,,,numeric,Required,Primary

20,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,tbl_bunben,,,ja,Table
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,hospnum,,,smallint,Required,Primary
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,ptid,,,bigint,Required,Primary
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,skyym,,,character,Required,Primary
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,rrknum,,,integer,Required,Primary
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,ptnum,,,character,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,skykbn,,,character,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,riyoukbn,,,character,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,bunbenkbn,,,character,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,teisyutusaki,,,character,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,kanyukbn,,,character,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,honkzkkbn,,,character,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,hknjanum,,,character,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,kigo,,,character varying,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,num,,,character varying,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,name,,,character varying,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,zaiweek,,,smallint,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,birthday,,,character,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,sizankbn,,,character,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,birthcnt,,,smallint,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,nyuin_day,,,smallint,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,sankakbn,,,character,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,nyu_money,,,integer,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,rmsgk_money,,,integer,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,kaijo_money,,,integer,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,bunben_money,,,integer,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,shin_money,,,integer,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,kns_money,,,integer,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,syc_money,,,integer,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,snk_money,,,integer,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,etc_money,,,integer,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,icbftn_money,,,integer,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,ninpuftn_money,,,integer,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,dairi_money,,,integer,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,bikou,,,character varying,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,updkbn,,,character,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,hknjanum_s,,,character,Required,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,termid,,,character varying,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,opid,,,character varying,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,creymd,,,character,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,upymd,,,character,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,uphms,,,character,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,teisyutubikbn,,,character,Nullable,
30,3a88a2ce-3ba2-417c-a8a6-019f5ad4024d,nyugaikbn,,,character,Required,Primary

20,60087dc4-9787-4f36-b40d-e881dad497e2,tbl_byomei,,,ja,Table
30,60087dc4-9787-4f36-b40d-e881dad497e2,byomeicd,,,character,Required,Primary
30,60087dc4-9787-4f36-b40d-e881dad497e2,byomei,,,character varying,Required,
30,60087dc4-9787-4f36-b40d-e881dad497e2,byomeimoji,,,smallint,Nullable,
30,60087dc4-9787-4f36-b40d-e881dad497e2,tanbyomei,,,character varying,Required,
30,60087dc4-9787-4f36-b40d-e881dad497e2,tanbyomeimoji,,,smallint,Nullable,
30,60087dc4-9787-4f36-b40d-e881dad497e2,byomeikana,,,character varying,Required,
